reviewText,overall,sentimentScore,sentimentCat,reviewCat
"If you liked the first STALKER you will love the sequel....BUT......

It is just like the first time. The game is LOADED with bugs that cause crashes, you cannot travel to new areas, you cannot travel back to old areas. In some cases you are PERMANENTLY stuck!!!!

I am referring to patch 1.5.04...the latest as of today. You could play, stop when you do all you can do when a lethal bug hits you and wait for another patch...but the next patch might kill your old saved games. This happened with the 1st STALKER.

RIGHT NOW -
DO NOT BUY THIS GAME!!!! Obviously GSC and THQ learned nothing from the first mess they created and have given you another load of headaches, bugs, crashes and poor framerates to deal with.

Wait for at least another patch or two and read some gaming forums to check out how frustrated everyone is right now!!

That includes me. I stupidly thought it would be different this time but it is just as bad if not worse!

The game will be great and will be worth buying/playing ONCE and ONLY AFTER the bugs and MAJOR PROBLEMS ARE FIXED!

I am sending my hate mail to the companies responsible to let them know how angry I am.",1.0,-0.14285714285714285,neutral,negative
Achievement hunters only need apply.,1.0,1.0,positive,negative
"this game is nothing more than a silly knockoff game, since the cod2 and cod4 there hasn't been good cod games anymore, cal of duty is dead now, same things different titles, now black ops what a joke, the game lacks a good storyline let alone a reall good gameplay and smart AI, the AI is so stupid you can run out and just sit there and watch the singleplayer troops just keep shooting and thats it, wow what a crazy poorly designed flawed game, modern warfare 2 was horrible and hated it and is still better than this crap, cod2 beats all of them. this game was nothing but a dumbed down version of the remake medal of honor which was also crap, spend money else where, this game is not worth nothing... a rent not a buy.",1.0,-1.0,negative,negative
"Has problems reading all game discs and would suggest not getting one from here, highly disappointed.",1.0,-1.0,negative,negative
Purchased to refresh my memory.  I use one star because to identify that I bought this item from Amazon and not to review.,1.0,0.5,positive,negative
"The product itself is great, I have fond memories of using these as a kid.  But, the copy I got was 100% non functional.  Which breeds to ask the question, why don't these sellers quality check their products before they sell them?  Whatever, it was only $4.  I've bought dumber stuff for much less than that in my past.",1.0,0.2,neutral,negative
Awful game way to complicated,1.0,-1.0,negative,negative
ordered 2....One did not work immediately...Another was sent...All stopped working within 2 weeks,1.0,-1.0,negative,negative
"This game really sucked. I don't even know why I have this peice of crap in my house still! Star wars:Rouge leader is way better than this! This game is about humans coming to some planet that is filled with crapy bugs that kill humans and you play as a guy who loses his memory and he is lone the last guys on the planet. Do Not Buy This Game!
It's a waste of money.",1.0,-0.3333333333333333,negative,negative
The game makers should try better to reach as many customers as possible giving more choises of gameplay. They should provide for single players and they should not try to force people to enroll in there Xbox online subscription.  Hopefully this won't go on for other future releases. Now I understand why I keep seeing a lot of Xbox one sitting on the stores shelves.,1.0,0.25,positive,negative
"DO NOT BUY this cod. its the worst cod in the series. i have a 3.98 kd in black ops 1. a 1.55 kd in black ops 2. a 2.10 in ghost. and a 0.90 in advanced warfare. If you like dying from getting shot in the back from bad spawns, Buy this game. Just broke my controller playing it, DO NOT GET IT, WORST COD IN THE SERIES! WORST THAN GHOST!",1.0,-0.3333333333333333,negative,negative
Second game for the ps4 and still unable to play online with one of your friends TOGETHER. You are forced to find 6 people (no less) or play against your friend. Embarrassing due to how easy this would be to implement. This is just one example of a total lack of effort that EA puts into this game. It's a HUGE search topic and yet they refuse to add this feature.,1.0,-0.6,negative,negative
Too loud. Not worth it. I will return it.,1.0,-0.6666666666666666,negative,negative
"i played every single Fight Night game. i played the demo and eventually bought this game for like $12. tried to play it. it was nothing more but boring for me. i just couldn't get into it. i expect a better boxing simulation from fight night, not this kiddish arcade like game fit for a 2nd grader. it sat around for awhile and one day i though to myself if i should give it another shot. I used my efforts into selling in back to amazon for $7 instead. what can i say?

hey if you enjoy it that's great. personally, it just didn't do it for me.",1.0,0.18181818181818185,neutral,negative
Giving I sill can pass Day One on the Nintendo 64 Version I give this an don't buy even if you are an shitendo fan boy.,1.0,0.0,neutral,negative
Did not work at all on genuine N64 with various controllers.,1.0,-1.0,negative,negative
"i know i haven't played the game yet, but if it is like its prequel and other extreme sports games like tony hawk and dave mirra, this game will be RUBBISH",1.0,-1.0,negative,negative
